Symbol;Name;Price (Intraday);Avg Vol (3 month);Market Cap
AAPL;Apple Inc.;203.16;34.169M;965.572B
EC;Ecopetrol S.A.;21.65;1.213M;890.793B
MSFT;Microsoft Corporation;107.45;29.154M;824.426B
AMZN;Amazon.com, Inc.;1650.71;5.892M;805.332B
GOOGL;Alphabet Inc.;1068.8;1.978M;736.542B
GOOG;Alphabet Inc.;1052.42;1.657M;735.116B
BRK-B;Berkshire Hathaway Inc.;217.16;4.354M;538.905B
FB;Facebook, Inc.;149.63;25.333M;429.517B
JNJ;Johnson & Johnson;142.53;6.392M;382.343B
BABA;Alibaba Group Holding Limited;148.65;25.214M;381.674B
JPM;JPMorgan Chase & Co.;109.04;13.95M;362.618B
TCEHY;Tencent Holdings Limited;37.69;6.781M;363.932B
XOM;Exxon Mobil Corporation;81.52;11.88M;345.31B
V;Visa Inc.;140.61;8.617M;311.634B
WMT;Walmart Inc.;102.41;8.566M;299.99B
BAC;Bank of America Corporation;28.16;60.39M;276.27B
RDS-A;Royal Dutch Shell plc;63.05;3.546M;278.457B
RDS-B;Royal Dutch Shell plc;65.23;1.766M;278.602B
WFC;Wells Fargo & Company;53.43;20.538M;251.644B
UNH;UnitedHealth Group Incorporated;263.35;2.887M;253.833B
PFE;Pfizer Inc.;43.15;21.185M;253.448B
VZ;Verizon Communications Inc.;56.73;15.828M;234.719B
PG;The Procter & Gamble Company;91.13;8.738M;227.229B
CVX;Chevron Corporation;118;6.037M;226.345B
T;AT&T Inc.;30.67;34.571M;223.496B
INTC;Intel Corporation;47.31;27.203M;215.603B
CSCO;Cisco Systems, Inc.;46.32;21.093M;211.698B
BA;The Boeing Company;367.71;3.541M;208.641B
KO;The Coca-Cola Company;48.92;11.814M;208.186B
HD;The Home Depot, Inc.;181.54;4.776M;207.707B
MA;Mastercard Incorporated;199.07;3.84M;205.598B
NVS;Novartis AG;88.01;2.123M;203.322B
TSM;Taiwan Semiconductor Manufacturing Company Limited;38.76;8.14M;197.734B
MRK;Merck & Co., Inc.;73.56;9.518M;195.635B
ORCL;Oracle Corporation;49.05;18.076M;185.833B
CMCSA;Comcast Corporation;37.82;21.503M;172.062B
DIS;The Walt Disney Company;116;7.139M;172.52B
C;Citigroup Inc.;66.59;15.629M;162.622B
HSBC;HSBC Holdings plc;41.675;2.059M;162.999B
AVAL;Grupo Aval Acciones Y Valores S.A.;7.29;161826;162.429B
HBCYF;HSBC Holdings plc;8.25;27500;161.955B
PEP;PepsiCo, Inc.;114.11;4.35M;161.074B
TOT;TOTAL S.A.;58.11;2.032M;152.797B
BUD;Anheuser-Busch InBev SA/NV;75.71;1.864M;146.171B
UN;Unilever N.V.;54.34;1.245M;145.935B
MCD;McDonald's Corporation;181.15;3.739M;139.65B
BP;BP p.l.c.;42.46;6.417M;139.332B
PM;Philip Morris International Inc.;88.995;5.699M;138.345B
UL;Unilever PLC;53.49;805595;137.162B
NFLX;Netflix, Inc.;311.34;11.732M;135.773B
DWDP;DowDuPont Inc.;57.9;10.088M;132.836B
NVDA;NVIDIA Corporation;212.645;11.871M;129.288B
SAP;SAP SE;106.97;883560;126.94B
BHP;BHP Billiton Limited;48.05;2.327M;126.329B
ABBV;AbbVie Inc.;82.99;5.404M;125.669B
MDT;Medtronic plc;92.42;5.063M;124.814B
ABT;Abbott Laboratories;70.755;6.064M;124.269B
NKE;NIKE, Inc.;76.7302;7.582M;121.856B
MO;Altria Group, Inc.;64.7867;6.954M;121.874B
AMGN;Amgen Inc.;190.76;2.682M;121.556B
ADBE;Adobe Inc.;240.75;3.465M;117.518B
MMM;3M Company;194.65;2.381M;113.342B
IBM;International Business Machines Corporation;123.17;6.019M;111.936B
UNP;Union Pacific Corporation;149.78;4.562M;110.356B
HON;Honeywell International Inc.;148.8;3.035M;110.155B
BBL;BHP Billiton plc;41.97;1.55M;109.639B
SNY;Sanofi;44.4333;1.702M;109.513B
LLY;Eli Lilly and Company;105.8;4.003M;105.536B
COST;Costco Wholesale Corporation;236.15;2.335M;103.483B
NVO;Novo Nordisk A/S;43.05;1.585M;102.848B
TD;The Toronto-Dominion Bank;55.6;1.39M;101.42B
CRM;salesforce.com, inc.;135.6;5.715M;102.609B
UTX;United Technologies Corporation;127.64;3.768M;102.238B
ACN;Accenture plc;159.4475;2.037M;101.782B
PBR;Petróleo Brasileiro S.A. - Petrobras;15.98;27.9M;99.604B
PYPL;PayPal Holdings, Inc.;84.43;9.085M;99.489B
PBR-A;Petróleo Brasileiro S.A. - Petrobras;14.64;10.073M;99.488B
TMO;Thermo Fisher Scientific Inc.;238.6;1.441M;96.055B
GSK;GlaxoSmithKline plc;39.72;2.446M;94.938B
AVGO;Broadcom Inc.;227.3094;3.703M;93.98B
AZN;AstraZeneca PLC;38.31;4.195M;93.812B
QCOM;QUALCOMM Incorporated;63.63;13.934M;93.481B
TXN;Texas Instruments Incorporated;96.87;6.874M;93.048B
UPS;United Parcel Service, Inc.;108.03;2.63M;92.799B
BKNG;Booking Holdings Inc.;1952.13;460583;92.672B
BTI;British American Tobacco p.l.c.;43.79;2.244M;91.242B
GILD;Gilead Sciences, Inc.;70.04;6.619M;90.796B
AXP;American Express Company;105.01;3.121M;89.706B
LMT;Lockheed Martin Corporation;307.63;1.255M;87.498B
VWAPY;Volkswagen AG;17.7957;124701;87.223B
FOX;Twenty-First Century Fox, Inc.;46.545;4.194M;86.718B
FOXA;Twenty-First Century Fox, Inc.;46.9;9.091M;86.515B
GS;The Goldman Sachs Group, Inc.;228.07;2.879M;86.107B
SBUX;Starbucks Corporation;65.67;11.006M;85.962B
USB;U.S. Bancorp;52.475;6.589M;84.804B
EQNR;Equinor ASA;25.5;1.214M;84.408B
RIO;Rio Tinto plc;51.17;2.709M;84.232B
BMY;Bristol-Myers Squibb Company;51.3;6.955M;83.732B
GE;General Electric Company;9.405;88.542M;81.806B
NEE;NextEra Energy, Inc.;169.9423;1.75M;81.223B
MS;Morgan Stanley;45.62;9.77M;79.597B
VALE;Vale S.A.;15.325;21.243M;78.97B
LOW;Lowe's Companies, Inc.;97.38;4.946M;78.975B
COP;ConocoPhillips;68.41;5.852M;78.756B
MUFG;Mitsubishi UFJ Financial Group, Inc.;5.98;1.039M;78.54B
CVS;CVS Health Corporation;77.13;7.348M;78.523B
ITUB;Itaú Unibanco Holding S.A.;13.41;17.598M;79.628B
SAN;Banco Santander, S.A.;4.81;7.645M;76.174B
CAT;Caterpillar Inc.;128.68;5.647M;75.935B
WBA;Walgreens Boots Alliance, Inc.;79.94;5.957M;75.876B
KMI-PA;Kinder Morgan, Inc. PFD SER A;0;499160;0
ASML;ASML Holding N.V.;176.87;862387;74.373B
BASFY;BASF SE;19.62;529713;71.752B
SLB;Schlumberger Limited;51.7;8.334M;71.594B
DHR;Danaher Corporation;101.91;2.385M;71.429B
ANTM;Anthem, Inc.;272.32;1.194M;70.433B
WBK;Westpac Banking Corporation;19.505;396313;65.798B
AMT;American Tower Corporation (REIT);156;1.772M;68.716B
ABEV;Ambev S.A.;4.41;32.875M;68.27B
TJX;The TJX Companies, Inc.;109.09;3.771M;67.501B
BIDU;Baidu, Inc.;193.4125;3.199M;67.416B
AET;Aetna Inc.;205.93;2.008M;67.421B
SPG;Simon Property Group, Inc.;183.41;1.494M;65.39B
KHC;The Kraft Heinz Company;53.12;6.593M;64.782B
BIIB;Biogen Inc.;320.7;1.226M;64.616B
SCHW;The Charles Schwab Corporation;47.67;6.925M;64.405B
BDX;Becton, Dickinson and Company;238.7;971033;63.866B
CME;CME Group Inc.;186.92;1.543M;63.708B
MDLZ;Mondelez International, Inc.;43.045;6.842M;62.581B
ADP;Automatic Data Processing, Inc.;142.02;1.884M;62.167B
CNI;Canadian National Railway Company;85.01;1.101M;61.787B
EOG;EOG Resources, Inc.;106;2.896M;61.47B
PNC;The PNC Financial Services Group, Inc.;131.75;2.267M;60.793B
CB;Chubb Limited;129.75;1.581M;59.789B
DUK;Duke Energy Corporation;83.88;3.728M;59.796B
BBD;Banco Bradesco S.A.;9.75;16.173M;60.459B
FDX;FedEx Corporation;225.6;1.653M;59.448B
TSLA;Tesla, Inc.;345.9;10.752M;59.402B
ISRG;Intuitive Surgical, Inc.;517.01;719130;59.043B
CSX;CSX Corporation;69.83;5.664M;58.966B
EPD;Enterprise Products Partners L.P.;26.852;4.288M;58.429B
TMUS;T-Mobile US, Inc.;68.54;3.505M;58.148B
ENB;Enbridge Inc.;33.03;3.377M;56.829B
AGN;Allergan plc;164.4;1.97M;55.805B
GLNCY;Glencore Plc;8.1;325080;55.661B
INTU;Intuit Inc.;214.69;1.634M;55.534B
ESRX;Express Scripts Holding Company;98.21;4.177M;55.206B
SMFG;Sumitomo Mitsui Financial Group, Inc.;7.8779;1.378M;54.94B
LLDTF;Lloyds Banking Group plc;0.727;46167;53.129B
SU;Suncor Energy Inc.;34.09;3.325M;54.683B
OXY;Occidental Petroleum Corporation;71.51;4.965M;54.685B
LYG;Lloyds Banking Group plc;2.995;8.042M;53.032B
GD;General Dynamics Corporation;182.03;1.365M;53.908B
UBS;UBS Group AG;14.07;1.885M;52.477B
RTN;Raytheon Company;184.87;1.645M;52.61B
CL;Colgate-Palmolive Company;60.49;3.794M;52.464B
CELG;Celgene Corporation;74.91;4.875M;52.381B
VOD;Vodafone Group Plc;19.1813;7.324M;50.622B
CI;Cigna Corporation;214.6;2.636M;52.262B
EL;The Estée Lauder Companies Inc.;142.15;2.342M;51.58B
HMC;Honda Motor Co., Ltd.;29.19;713329;51.854B
GM;General Motors Company;36.35;13.283M;51.304B
BSX;Boston Scientific Corporation;36.69;7.142M;50.767B
AMX;América Móvil, S.A.B. de C.V.;15.467;2.753M;50.24B
INGVF;ING Groep N.V.;12.552;29558;49.61B
ATVI;Activision Blizzard, Inc.;64.69;7.343M;49.32B
ING;ING Groep N.V.;12.745;3.77M;49.013B
NOC;Northrop Grumman Corporation;281.91;1.253M;48.945B
BMO;Bank of Montreal;75.14;551843;47.986B
BK;The Bank of New York Mellon Corporation;48.181;5.47M;47.64B
MPC;Marathon Petroleum Corporation;68.42;6.489M;47.266B
PX;Praxair, Inc.;0;3.373M;0
ILMN;Illumina, Inc.;320.64;1.014M;47.134B
HCA;HCA Healthcare, Inc.;135.15;1.793M;46.768B
DE;Deere & Company;144.18;2.367M;46.377B
PSX;Phillips 66;99.97;2.757M;46.099B
CCI;Crown Castle International Corp. (REIT);111.11;2.211M;46.093B
SPGI;S&P Global Inc.;183.43;1.321M;46.133B
D;Dominion Energy, Inc.;70.29;3.032M;46.046B
SO;The Southern Company;45.245;6.722M;45.885B
NSC;Norfolk Southern Corporation;167.22;1.99M;45.542B
MU;Micron Technology, Inc.;39.91;37.2M;45.268B
VRTX;Vertex Pharmaceuticals Incorporated;177.17;1.217M;45.277B
ECL;Ecolab Inc.;156.38;1.056M;45.174B
TGT;Target Corporation;85.42;4.599M;44.961B
NRBAY;Nordea Bank AB (publ);11.02;871235;42.916B
ICE;Intercontinental Exchange, Inc.;78.29;2.729M;44.59B
ZTS;Zoetis Inc.;92.14;2.198M;44.269B
EMR;Emerson Electric Co.;69.87;2.928M;43.911B
MET;MetLife, Inc.;44.45;5.884M;44.217B
ITW;Illinois Tool Works Inc.;132.14;1.73M;43.844B
MZHOF;Mizuho Financial Group, Inc.;1.61;9221;43.64B
MFG;Mizuho Financial Group, Inc.;3.425;430698;43.583B
ABB;ABB Ltd;20.36;2.248M;43.53B
PLD;Prologis, Inc.;65.295;3.441M;43.1B
LVS;Las Vegas Sands Corp.;54.89;4.855M;42.997B
TEF;Telefónica, S.A.;8.41;1.751M;42.507B
ORAN;Orange S.A.;16.1175;290336;42.413B
EXC;Exelon Corporation;43.875;5.525M;42.428B
COF;Capital One Financial Corporation;89.12;2.554M;42.216B
RENX;RELX NV;21.19;92295;41.802B
ET;Energy Transfer LP;15.7057;13.988M;41.155B
PRU;Prudential Financial, Inc.;97.93;2.023M;40.906B
BX;The Blackstone Group L.P.;34.35;4.237M;41.087B
PGR;The Progressive Corporation;70.04;3.102M;40.843B
CTSH;Cognizant Technology Solutions Corporation;69.49;3.336M;40.237B
INFY;Infosys Limited;9.52;10.158M;40.053B
BAM;Brookfield Asset Management Inc.;41.32;1.027M;39.486B
BSBR;Banco Santander (Brasil) S.A.;11.17;1.454M;39.964B
RBS;The Royal Bank of Scotland Group plc;6.51;683856;37.771B
CCL;Carnival Corporation;57;3.854M;39.717B
BBVA;Banco Bilbao Vizcaya Argentaria, S.A.;5.87;3.808M;38.665B
CUK;Carnival plc;56.36;274130;39.459B
AIG;American International Group, Inc.;44.46;5.935M;39.331B
HPQ;HP Inc.;24.77;9.307M;39.196B
MAR;Marriott International, Inc.;112.55;2.365M;39.054B
REGN;Regeneron Pharmaceuticals, Inc.;359.48;695276;38.804B
VLO;Valero Energy Corporation;90.68;3.293M;38.756B
BBT;BB&T Corporation;49.92;3.585M;38.473B
BCS;Barclays PLC;9.05;3.606M;38.045B
STZ;Constellation Brands, Inc.;202.45;2.371M;38.301B
AON;Aon plc;158.76;897752;38.236B
KMI;Kinder Morgan, Inc.;17.215;13.435M;37.994B
F;Ford Motor Company;9.52;46.181M;37.85B
KDP;Keurig Dr Pepper Inc.;27.21;2.712M;37.727B
ROST;Ross Stores, Inc.;100.8;2.894M;37.635B
DAL;Delta Air Lines, Inc.;55.1;5.999M;37.634B
AABA;Altaba Inc.;62.12;9.872M;37.433B
WM;Waste Management, Inc.;87.74;1.791M;37.408B
KMB;Kimberly-Clark Corporation;107.16;2.104M;37.11B
NGG;National Grid plc;54.99;615406;36.467B
AEP;American Electric Power Company, Inc.;73.85;2.573M;36.416B
BCE;BCE Inc.;40.43;826270;36.174B
LYB;LyondellBasell Industries N.V.;94.06;2.597M;36.087B
TRP;TransCanada Corporation;39.31;1.14M;35.851B
PSA;Public Storage;202.91;918523;35.427B
PHG;Koninklijke Philips N.V.;38.24;1.048M;35.365B
CNQ;Canadian Natural Resources Limited;29.405;3.21M;35.334B
NTR;Nutrien Ltd.;57;1.667M;34.992B
JD;JD.com, Inc.;23.97;19.996M;34.667B
TRV;The Travelers Companies, Inc.;128.22;1.487M;33.963B
FIS;Fidelity National Information Services, Inc.;104.72;1.453M;34.295B
APD;Air Products and Chemicals, Inc.;156.23;1.003M;34.257B
AMAT;Applied Materials, Inc.;34.725;13.148M;34.134B
SYY;Sysco Corporation;64.99;2.856M;33.84B
BAX;Baxter International Inc.;63.24;3.215M;33.787B
VFC;V.F. Corporation;85.14;2.535M;33.784B
AFL;Aflac Incorporated;43.91;2.965M;33.428B
CS;Credit Suisse Group AG;12.785;2.646M;32.803B
NOK;Nokia Corporation;5.85;13.612M;32.643B
ADI;Analog Devices, Inc.;87.66;3.348M;32.581B
ETN;Eaton Corporation plc;74.86;2.672M;32.437B
TKPYY;Takeda Pharmaceutical Company Limited;20.27;696878;32.436B
MFC;Manulife Financial Corporation;16.31;3.106M;32.315B
NOW;ServiceNow, Inc.;180.55;2.08M;32.128B
SQ;Square, Inc.;78.04;15.031M;32.017B
BT;BT Group plc;16.47;843441;31.955B
EW;Edwards Lifesciences Corporation;152.12;1.664M;31.801B
ALL;The Allstate Corporation;90.85;1.861M;31.293B
HAL;Halliburton Company;35.59;8.979M;31.196B
IBN;ICICI Bank Limited;9.64;7.911M;30.964B
WMB;The Williams Companies, Inc.;25.57;12.93M;30.958B
FISV;Fiserv, Inc.;77.32;1.928M;30.81B
JCI;Johnson Controls International plc;33.3;5.314M;30.8B
SRE;Sempra Energy;112.63;1.74M;30.8B
RHT;Red Hat, Inc.;174.33;2.635M;30.777B
SCCO;Southern Copper Corporation;39.35;948169;30.419B
DG;Dollar General Corporation;114;2.329M;30.271B
MNST;Monster Beverage Corporation;54.78;2.862M;30.262B
NTES;NetEase, Inc.;228.94;1.1M;30.066B
AMTD;TD Ameritrade Holding Corporation;52.43;2.565M;29.762B
HOKCF;The Hong Kong and China Gas Company Limited;1.9043;16132;29.685B
BHGE;Baker Hughes, a GE company;26.72;3.455M;29.379B
LUV;Southwest Airlines Co.;52.27;4.791M;29.392B
WDAY;Workday, Inc.;134.81;1.962M;29.379B
ADSK;Autodesk, Inc.;133.99;2.166M;29.292B
ERIC;Telefonaktiebolaget LM Ericsson (publ);8.97;5.79M;29.132B
WP;Worldpay, Inc.;92.25;2.314M;28.845B
